🇨🇳电视频道,#genre#
东方卫视,http://106.115.27.209:9999/tsfile/live/1016_1.m3u8
浙江卫视,http://106.115.27.209:9999/tsfile/live/1017_1.m3u8
天津卫视,http://106.115.27.209:9999/tsfile/live/1018_1.m3u8
安徽卫视,http://106.115.27.209:9999/tsfile/live/0130_1.m3u8
辽宁卫视,http://106.115.27.209:9999/tsfile/live/0121_1.m3u8
山东卫视,http://106.115.27.209:9999/tsfile/live/0131_1.m3u8
云南卫视,http://106.115.27.209:9999/tsfile/live/0119_1.m3u8
河南卫视,http://106.115.27.209:9999/tsfile/live/0139_1.m3u8
四川卫视,http://106.115.27.209:9999/tsfile/live/0123_1.m3u8
江西卫视,http://106.115.27.209:9999/tsfile/live/0138_1.m3u8
贵州卫视,http://106.115.27.209:9999/tsfile/live/0120_1.m3u8
湖北卫视,http://106.115.27.209:9999/tsfile/live/0132_1.m3u8
东方卫视,http://106.115.27.209:9999/tsfile/live/0107_1.m3u8
重庆卫视,http://106.115.27.209:9999/tsfile/live/0142_1.m3u8
东南卫视,http://106.115.27.209:9999/tsfile/live/0137_1.m3u8
广东卫视,http://106.115.27.209:9999/tsfile/live/0125_1.m3u8
广西卫视,http://106.115.27.209:9999/tsfile/live/0113_1.m3u8
吉林卫视,http://106.115.27.209:9999/tsfile/live/0116_1.m3u8
陕西卫视,http://106.115.27.209:9999/tsfile/live/0136_1.m3u8
山西卫视,http://106.115.27.209:9999/tsfile/live/0118_1.m3u8
内蒙古卫视,http://106.115.27.209:9999/tsfile/live/0109_1.m3u8
青海卫视,http://106.115.27.209:9999/tsfile/live/0140_1.m3u8
宁夏卫视,http://106.115.27.209:9999/tsfile/live/0112_1.m3u8
西藏卫视,http://106.115.27.209:9999/tsfile/live/0111_1.m3u8
新疆卫视,http://106.115.27.209:9999/tsfile/live/0110_1.m3u8
甘肃卫视,http://106.115.27.209:9999/tsfile/live/0141_1.m3u8
卡酷动画,http://106.115.27.209:9999/tsfile/live/1019_1.m3u8
金鹰卡通,http://106.115.27.209:9999/tsfile/live/1020_1.m3u8
梨园,http://106.115.27.209:9999/tsfile/live/1021_1.m3u8
风云剧场,http://106.115.27.209:9999/tsfile/live/1024_1.m3u8
怀旧剧场,http://106.115.27.209:9999/tsfile/live/1025_1.m3u8
都市剧场,http://106.115.27.209:9999/tsfile/live/1026_1.m3u8
风云足球,http://106.115.27.209:9999/tsfile/live/1027_1.m3u8
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
CCTV-1,http://106.115.27.164:9999/tsfile/live/1000_1.m3u8
CCTV-2,http://106.115.27.164:9999/tsfile/live/1001_1.m3u8
CCTV-3,http://106.115.27.164:9999/tsfile/live/1002_1.m3u8
CCTV-4,http://106.115.27.164:9999/tsfile/live/1003_1.m3u8
CCTV-5,http://106.115.27.164:9999/tsfile/live/1004_1.m3u8
CCTV-6,http://106.115.27.164:9999/tsfile/live/0006_1.m3u8
CCTV-7,http://106.115.27.164:9999/tsfile/live/0007_1.m3u8
CCTV-8,http://106.115.27.164:9999/tsfile/live/0008_1.m3u8
CCTV-9,http://106.115.27.164:9999/tsfile/live/0009_1.m3u8
CCTV-10,http://106.115.27.164:9999/tsfile/live/0010_1.m3u8
CCTV-11,http://106.115.27.164:9999/tsfile/live/0011_1.m3u8
CCTV-12,http://106.115.27.164:9999/tsfile/live/0012_1.m3u8
CCTV-13,http://106.115.27.164:9999/tsfile/live/0013_1.m3u8
CCTV-14,http://106.115.27.164:9999/tsfile/live/0014_1.m3u8
CCTV-15,http://106.115.27.164:9999/tsfile/live/0015_1.m3u8
河北卫视,http://106.115.27.164:9999/tsfile/live/0117_1.m3u8
河北都市,http://106.115.27.164:9999/tsfile/live/1006_1.m3u8
河北影视,http://106.115.27.164:9999/tsfile/live/1007_1.m3u8
河北少儿科教,http://106.115.27.164:9999/tsfile/live/1008_1.m3u8
北京卫视高清,http://106.115.27.164:9999/tsfile/live/1011_1.m3u8
湖南卫视高清,http://106.115.27.164:9999/tsfile/live/1012_1.m3u8
黑龙江卫视高清,http://106.115.27.164:9999/tsfile/live/1013_1.m3u8
深圳卫视高清,http://106.115.27.164:9999/tsfile/live/1014_1.m3u8
江苏卫视高清,http://106.115.27.164:9999/tsfile/live/1015_1.m3u8
东方卫视高清,http://106.115.27.164:9999/tsfile/live/1016_1.m3u8
浙江卫视高清,http://106.115.27.164:9999/tsfile/live/1017_1.m3u8
天津卫视高清,http://106.115.27.164:9999/tsfile/live/1018_1.m3u8
安徽卫视,http://106.115.27.164:9999/tsfile/live/0130_1.m3u8
辽宁卫视,http://106.115.27.164:9999/tsfile/live/0121_1.m3u8
山东卫视,http://106.115.27.164:9999/tsfile/live/0131_1.m3u8
云南卫视,http://106.115.27.164:9999/tsfile/live/0119_1.m3u8
河南卫视,http://106.115.27.164:9999/tsfile/live/0139_1.m3u8
四川卫视,http://106.115.27.164:9999/tsfile/live/0123_1.m3u8
江西卫视,http://106.115.27.164:9999/tsfile/live/0138_1.m3u8
贵州卫视,http://106.115.27.164:9999/tsfile/live/0120_1.m3u8
湖北卫视,http://106.115.27.164:9999/tsfile/live/0132_1.m3u8
东方卫视,http://106.115.27.164:9999/tsfile/live/0107_1.m3u8
重庆卫视,http://106.115.27.164:9999/tsfile/live/0142_1.m3u8
东南卫视,http://106.115.27.164:9999/tsfile/live/0137_1.m3u8
广东卫视,http://106.115.27.164:9999/tsfile/live/0125_1.m3u8
广西卫视,http://106.115.27.164:9999/tsfile/live/0113_1.m3u8
吉林卫视,http://106.115.27.164:9999/tsfile/live/0116_1.m3u8
陕西卫视,http://106.115.27.164:9999/tsfile/live/0136_1.m3u8
山西卫视,http://106.115.27.164:9999/tsfile/live/0118_1.m3u8
内蒙古卫视,http://106.115.27.164:9999/tsfile/live/0109_1.m3u8
青海卫视,http://106.115.27.164:9999/tsfile/live/0140_1.m3u8
宁夏卫视,http://106.115.27.164:9999/tsfile/live/0112_1.m3u8
西藏卫视,http://106.115.27.164:9999/tsfile/live/0111_1.m3u8
新疆卫视,http://106.115.27.164:9999/tsfile/live/0110_1.m3u8
甘肃卫视,http://106.115.27.164:9999/tsfile/live/0141_1.m3u8
卡酷动画,http://106.115.27.164:9999/tsfile/live/1019_1.m3u8
金鹰卡通,http://106.115.27.164:9999/tsfile/live/1020_1.m3u8
梨园,http://106.115.27.164:9999/tsfile/live/1021_1.m3u8
风云剧场,http://106.115.27.164:9999/tsfile/live/1024_1.m3u8
怀旧剧场,http://106.115.27.164:9999/tsfile/live/1025_1.m3u8
都市剧场,http://106.115.27.164:9999/tsfile/live/1026_1.m3u8
风云足球,http://106.115.27.164:9999/tsfile/live/1027_1.m3u8
cctv-4k,http://8.137.98.246/video.php?id=cctv4k
cctv-8k,http://8.137.98.246/video.php?id=cctv8k
cctv1,http://8.137.98.246/video.php?id=cctv1
cctv2,http://8.137.98.246/video.php?id=cctv2
cctv3,http://8.137.98.246/video.php?id=cctv3
cctv4,http://8.137.98.246/video.php?id=cctv4
cctv5,http://8.137.98.246/video.php?id=cctv5
cctv5+,http://8.137.98.246/video.php?id=cctv5p
cctv6,http://8.137.98.246/video.php?id=cctv6
cctv7,http://8.137.98.246/video.php?id=cctv7
cctv8,http://8.137.98.246/video.php?id=cctv8
cctv9,http://8.137.98.246/video.php?id=cctv9
cctv10,http://8.137.98.246/video.php?id=cctv10
cctv11,http://8.137.98.246/video.php?id=cctv11
cctv12,http://8.137.98.246/video.php?id=cctv12
cctv13,http://8.137.98.246/video.php?id=cctv13
cctv14,http://8.137.98.246/video.php?id=cctv14
cctv15,http://8.137.98.246/video.php?id=cctv15
cctv16,http://8.137.98.246/video.php?id=cctv16
cctv16-4k,http://8.137.98.246/video.php?id=cctv164k
cctv17,http://8.137.98.246/video.php?id=cctv17
北京卫视,http://8.137.98.246/video.php?id=bjws
东方卫视,http://8.137.98.246/video.php?id=dfws
天津卫视,http://8.137.98.246/video.php?id=tjws
重庆卫视,http://8.137.98.246/video.php?id=cqws
黑龙江卫视,http://8.137.98.246/video.php?id=hljws
辽宁卫视,http://8.137.98.246/video.php?id=lnws
河北卫视,http://8.137.98.246/video.php?id=hbws
山东卫视,http://8.137.98.246/video.php?id=sdws
安徽卫视,http://8.137.98.246/video.php?id=ahws
河南卫视,http://8.137.98.246/video.php?id=hnws
江西卫视,http://8.137.98.246/video.php?id=jxws
江苏卫视,http://8.137.98.246/video.php?id=jsws
浙江卫视,http://8.137.98.246/video.php?id=zjws
东南卫视,http://8.137.98.246/video.php?id=dnws
广东卫视,http://8.137.98.246/video.php?id=gdws
深圳卫视,http://8.137.98.246/video.php?id=szws
广西卫视,http://8.137.98.246/video.php?id=gxws
贵州卫视,http://8.137.98.246/video.php?id=gzws
四川卫视,http://8.137.98.246/video.php?id=scws
云南卫视,http://8.137.98.246/video.php?id=ynws
海南卫视,http://8.137.98.246/video.php?id=hinws
央视国际,http://8.137.98.246/video.php?id=cgtn
CCTV兵器科技,http://8.137.98.246/video.php?id=bqkj
CCTV第一剧场,http://8.137.98.246/video.php?id=dyjc
CCTV怀旧剧场,http://8.137.98.246/video.php?id=hjjc
CCTV风云剧场,http://8.137.98.246/video.php?id=fyjc
CCTV风云音乐,http://8.137.98.246/video.php?id=fyyy
CCTV风云足球,http://8.137.98.246/video.php?id=fyzq
CCTV电视指南,http://8.137.98.246/video.php?id=dszn
CCTV女性时尚,http://8.137.98.246/video.php?id=nxss
CCTV央视文化精品,http://8.137.98.246/video.php?id=whjp
CCTV世界地理,http://8.137.98.246/video.php?id=sjdl
CCTV高尔夫网球,http://8.137.98.246/video.php?id=gefwq
CCTV央视台球,http://8.137.98.246/video.php?id=ystq
CCTV卫生健康,http://8.137.98.246/video.php?id=wsjk
CGTN,http://8.137.98.246/video.php?id=cgtn 
CGTN纪录,http://8.137.98.246/video.php?id=cgtnjl
CGTN西语,http://8.137.98.246/video.php?id=cgtne
CGTN法语,http://8.137.98.246/video.php?id=cgtnf
CGTN阿语,http://8.137.98.246/video.php?id=cgtna
CGTN俄语,http://8.137.98.246/video.php?id=cgtnr
CCTV-1,http://106.115.27.168:9999/tsfile/live/1000_1.m3u8
CCTV-2,http://106.115.27.168:9999/tsfile/live/1001_1.m3u8
CCTV-3,http://106.115.27.168:9999/tsfile/live/1002_1.m3u8
CCTV-4,http://106.115.27.168:9999/tsfile/live/1003_1.m3u8
CCTV-5,http://106.115.27.168:9999/tsfile/live/1004_1.m3u8
CCTV-6,http://106.115.27.168:9999/tsfile/live/0006_1.m3u8
CCTV-7,http://106.115.27.168:9999/tsfile/live/0007_1.m3u8
CCTV-8,http://106.115.27.168:9999/tsfile/live/0008_1.m3u8
CCTV-9,http://106.115.27.168:9999/tsfile/live/0009_1.m3u8
CCTV-10,http://106.115.27.168:9999/tsfile/live/0010_1.m3u8
CCTV-11,http://106.115.27.168:9999/tsfile/live/0011_1.m3u8
CCTV-12,http://106.115.27.168:9999/tsfile/live/0012_1.m3u8
CCTV-13,http://106.115.27.168:9999/tsfile/live/0013_1.m3u8
CCTV-14,http://106.115.27.168:9999/tsfile/live/0014_1.m3u8
CCTV-15,http://106.115.27.168:9999/tsfile/live/0015_1.m3u8
河北卫视,http://106.115.27.168:9999/tsfile/live/0117_1.m3u8
河北都市,http://106.115.27.168:9999/tsfile/live/1006_1.m3u8
河北影视,http://106.115.27.168:9999/tsfile/live/1007_1.m3u8
河北少儿科教,http://106.115.27.168:9999/tsfile/live/1008_1.m3u8
北京卫视高清,http://106.115.27.168:9999/tsfile/live/1011_1.m3u8
湖南卫视高清,http://106.115.27.168:9999/tsfile/live/1012_1.m3u8
黑龙江卫视高清,http://106.115.27.168:9999/tsfile/live/1013_1.m3u8
深圳卫视高清,http://106.115.27.168:9999/tsfile/live/1014_1.m3u8
江苏卫视高清,http://106.115.27.168:9999/tsfile/live/1015_1.m3u8
东方卫视高清,http://106.115.27.168:9999/tsfile/live/1016_1.m3u8
浙江卫视高清,http://106.115.27.168:9999/tsfile/live/1017_1.m3u8
天津卫视高清,http://106.115.27.168:9999/tsfile/live/1018_1.m3u8
安徽卫视,http://106.115.27.168:9999/tsfile/live/0130_1.m3u8
辽宁卫视,http://106.115.27.168:9999/tsfile/live/0121_1.m3u8
山东卫视,http://106.115.27.168:9999/tsfile/live/0131_1.m3u8
云南卫视,http://106.115.27.168:9999/tsfile/live/0119_1.m3u8
河南卫视,http://106.115.27.168:9999/tsfile/live/0139_1.m3u8
四川卫视,http://106.115.27.168:9999/tsfile/live/0123_1.m3u8
江西卫视,http://106.115.27.168:9999/tsfile/live/0138_1.m3u8
贵州卫视,http://106.115.27.168:9999/tsfile/live/0120_1.m3u8
湖北卫视,http://106.115.27.168:9999/tsfile/live/0132_1.m3u8
东方卫视,http://106.115.27.168:9999/tsfile/live/0107_1.m3u8
重庆卫视,http://106.115.27.168:9999/tsfile/live/0142_1.m3u8
东南卫视,http://106.115.27.168:9999/tsfile/live/0137_1.m3u8
广东卫视,http://106.115.27.168:9999/tsfile/live/0125_1.m3u8
广西卫视,http://106.115.27.168:9999/tsfile/live/0113_1.m3u8
吉林卫视,http://106.115.27.168:9999/tsfile/live/0116_1.m3u8
陕西卫视,http://106.115.27.168:9999/tsfile/live/0136_1.m3u8
山西卫视,http://106.115.27.168:9999/tsfile/live/0118_1.m3u8
内蒙古卫视,http://106.115.27.168:9999/tsfile/live/0109_1.m3u8
青海卫视,http://106.115.27.168:9999/tsfile/live/0140_1.m3u8
宁夏卫视,http://106.115.27.168:9999/tsfile/live/0112_1.m3u8
西藏卫视,http://106.115.27.168:9999/tsfile/live/0111_1.m3u8
新疆卫视,http://106.115.27.168:9999/tsfile/live/0110_1.m3u8
甘肃卫视,http://106.115.27.168:9999/tsfile/live/0141_1.m3u8
卡酷动画,http://106.115.27.168:9999/tsfile/live/1019_1.m3u8
金鹰卡通,http://106.115.27.168:9999/tsfile/live/1020_1.m3u8
梨园,http://106.115.27.168:9999/tsfile/live/1021_1.m3u8
风云剧场,http://106.115.27.168:9999/tsfile/live/1024_1.m3u8
怀旧剧场,http://106.115.27.168:9999/tsfile/live/1025_1.m3u8
都市剧场,http://106.115.27.168:9999/tsfile/live/1026_1.m3u8
风云足球,http://106.115.27.168:9999/tsfile/live/1027_1.m3u8
CCTV-1,http://106.115.24.194:9999/tsfile/live/1000_1.m3u8
CCTV-2,http://106.115.24.194:9999/tsfile/live/1001_1.m3u8
CCTV-3,http://106.115.24.194:9999/tsfile/live/1002_1.m3u8
CCTV-4,http://106.115.24.194:9999/tsfile/live/1003_1.m3u8
CCTV-5,http://106.115.24.194:9999/tsfile/live/1004_1.m3u8
CCTV-6,http://106.115.24.194:9999/tsfile/live/0006_1.m3u8
CCTV-7,http://106.115.24.194:9999/tsfile/live/0007_1.m3u8
CCTV-8,http://106.115.24.194:9999/tsfile/live/0008_1.m3u8
CCTV-9,http://106.115.24.194:9999/tsfile/live/0009_1.m3u8
CCTV-10,http://106.115.24.194:9999/tsfile/live/0010_1.m3u8
CCTV-11,http://106.115.24.194:9999/tsfile/live/0011_1.m3u8
CCTV-12,http://106.115.24.194:9999/tsfile/live/0012_1.m3u8
CCTV-13,http://106.115.24.194:9999/tsfile/live/0013_1.m3u8
CCTV-14,http://106.115.24.194:9999/tsfile/live/0014_1.m3u8
CCTV-15,http://106.115.24.194:9999/tsfile/live/0015_1.m3u8
河北卫视,http://106.115.24.194:9999/tsfile/live/0117_1.m3u8
河北都市,http://106.115.24.194:9999/tsfile/live/1006_1.m3u8
河北影视,http://106.115.24.194:9999/tsfile/live/1007_1.m3u8
河北少儿科教,http://106.115.24.194:9999/tsfile/live/1008_1.m3u8
北京卫视高清,http://106.115.24.194:9999/tsfile/live/1011_1.m3u8
湖南卫视高清,http://106.115.24.194:9999/tsfile/live/1012_1.m3u8
黑龙江卫视高清,http://106.115.24.194:9999/tsfile/live/1013_1.m3u8
深圳卫视高清,http://106.115.24.194:9999/tsfile/live/1014_1.m3u8
江苏卫视高清,http://106.115.24.194:9999/tsfile/live/1015_1.m3u8
东方卫视高清,http://106.115.24.194:9999/tsfile/live/1016_1.m3u8
浙江卫视高清,http://106.115.24.194:9999/tsfile/live/1017_1.m3u8
天津卫视高清,http://106.115.24.194:9999/tsfile/live/1018_1.m3u8
安徽卫视,http://106.115.24.194:9999/tsfile/live/0130_1.m3u8
辽宁卫视,http://106.115.24.194:9999/tsfile/live/0121_1.m3u8
山东卫视,http://106.115.24.194:9999/tsfile/live/0131_1.m3u8
云南卫视,http://106.115.24.194:9999/tsfile/live/0119_1.m3u8
河南卫视,http://106.115.24.194:9999/tsfile/live/0139_1.m3u8
四川卫视,http://106.115.24.194:9999/tsfile/live/0123_1.m3u8
江西卫视,http://106.115.24.194:9999/tsfile/live/0138_1.m3u8
贵州卫视,http://106.115.24.194:9999/tsfile/live/0120_1.m3u8
湖北卫视,http://106.115.24.194:9999/tsfile/live/0132_1.m3u8
东方卫视,http://106.115.24.194:9999/tsfile/live/0107_1.m3u8
重庆卫视,http://106.115.24.194:9999/tsfile/live/0142_1.m3u8
东南卫视,http://106.115.24.194:9999/tsfile/live/0137_1.m3u8
广东卫视,http://106.115.24.194:9999/tsfile/live/0125_1.m3u8
广西卫视,http://106.115.24.194:9999/tsfile/live/0113_1.m3u8
吉林卫视,http://106.115.24.194:9999/tsfile/live/0116_1.m3u8
陕西卫视,http://106.115.24.194:9999/tsfile/live/0136_1.m3u8
山西卫视,http://106.115.24.194:9999/tsfile/live/0118_1.m3u8
内蒙古卫视,http://106.115.24.194:9999/tsfile/live/0109_1.m3u8
青海卫视,http://106.115.24.194:9999/tsfile/live/0140_1.m3u8
宁夏卫视,http://106.115.24.194:9999/tsfile/live/0112_1.m3u8
西藏卫视,http://106.115.24.194:9999/tsfile/live/0111_1.m3u8
新疆卫视,http://106.115.24.194:9999/tsfile/live/0110_1.m3u8
甘肃卫视,http://106.115.24.194:9999/tsfile/live/0141_1.m3u8
卡酷动画,http://106.115.24.194:9999/tsfile/live/1019_1.m3u8
金鹰卡通,http://106.115.24.194:9999/tsfile/live/1020_1.m3u8
梨园,http://106.115.24.194:9999/tsfile/live/1021_1.m3u8
风云剧场,http://106.115.24.194:9999/tsfile/live/1024_1.m3u8
怀旧剧场,http://106.115.24.194:9999/tsfile/live/1025_1.m3u8
都市剧场,http://106.115.24.194:9999/tsfile/live/1026_1.m3u8
风云足球,http://106.115.24.194:9999/tsfile/live/1027_1.m3u8
CCTV-1,http://106.115.26.172:9999/tsfile/live/1000_1.m3u8
CCTV-2,http://106.115.26.172:9999/tsfile/live/1001_1.m3u8
CCTV-3,http://106.115.26.172:9999/tsfile/live/1002_1.m3u8
CCTV-4,http://106.115.26.172:9999/tsfile/live/1003_1.m3u8
CCTV-5,http://106.115.26.172:9999/tsfile/live/1004_1.m3u8
CCTV-6,http://106.115.26.172:9999/tsfile/live/0006_1.m3u8
CCTV-7,http://106.115.26.172:9999/tsfile/live/0007_1.m3u8
CCTV-8,http://106.115.26.172:9999/tsfile/live/0008_1.m3u8
CCTV-9,http://106.115.26.172:9999/tsfile/live/0009_1.m3u8
CCTV-10,http://106.115.26.172:9999/tsfile/live/0010_1.m3u8
CCTV-11,http://106.115.26.172:9999/tsfile/live/0011_1.m3u8
CCTV-12,http://106.115.26.172:9999/tsfile/live/0012_1.m3u8
CCTV-13,http://106.115.26.172:9999/tsfile/live/0013_1.m3u8
CCTV-14,http://106.115.26.172:9999/tsfile/live/0014_1.m3u8
CCTV-15,http://106.115.26.172:9999/tsfile/live/0015_1.m3u8
河北卫视,http://106.115.26.172:9999/tsfile/live/0117_1.m3u8
河北都市,http://106.115.26.172:9999/tsfile/live/1006_1.m3u8
河北影视,http://106.115.26.172:9999/tsfile/live/1007_1.m3u8
河北少儿科教,http://106.115.26.172:9999/tsfile/live/1008_1.m3u8
北京卫视高清,http://106.115.26.172:9999/tsfile/live/1011_1.m3u8
湖南卫视高清,http://106.115.26.172:9999/tsfile/live/1012_1.m3u8
黑龙江卫视高清,http://106.115.26.172:9999/tsfile/live/1013_1.m3u8
深圳卫视高清,http://106.115.26.172:9999/tsfile/live/1014_1.m3u8
江苏卫视高清,http://106.115.26.172:9999/tsfile/live/1015_1.m3u8
东方卫视高清,http://106.115.26.172:9999/tsfile/live/1016_1.m3u8
浙江卫视高清,http://106.115.26.172:9999/tsfile/live/1017_1.m3u8
天津卫视高清,http://106.115.26.172:9999/tsfile/live/1018_1.m3u8
安徽卫视,http://106.115.26.172:9999/tsfile/live/0130_1.m3u8
辽宁卫视,http://106.115.26.172:9999/tsfile/live/0121_1.m3u8
山东卫视,http://106.115.26.172:9999/tsfile/live/0131_1.m3u8
云南卫视,http://106.115.26.172:9999/tsfile/live/0119_1.m3u8
河南卫视,http://106.115.26.172:9999/tsfile/live/0139_1.m3u8
四川卫视,http://106.115.26.172:9999/tsfile/live/0123_1.m3u8
江西卫视,http://106.115.26.172:9999/tsfile/live/0138_1.m3u8
贵州卫视,http://106.115.26.172:9999/tsfile/live/0120_1.m3u8
湖北卫视,http://106.115.26.172:9999/tsfile/live/0132_1.m3u8
东方卫视,http://106.115.26.172:9999/tsfile/live/0107_1.m3u8
重庆卫视,http://106.115.26.172:9999/tsfile/live/0142_1.m3u8
东南卫视,http://106.115.26.172:9999/tsfile/live/0137_1.m3u8
广东卫视,http://106.115.26.172:9999/tsfile/live/0125_1.m3u8
广西卫视,http://106.115.26.172:9999/tsfile/live/0113_1.m3u8
吉林卫视,http://106.115.26.172:9999/tsfile/live/0116_1.m3u8
陕西卫视,http://106.115.26.172:9999/tsfile/live/0136_1.m3u8
山西卫视,http://106.115.26.172:9999/tsfile/live/0118_1.m3u8
内蒙古卫视,http://106.115.26.172:9999/tsfile/live/0109_1.m3u8
青海卫视,http://106.115.26.172:9999/tsfile/live/0140_1.m3u8
宁夏卫视,http://106.115.26.172:9999/tsfile/live/0112_1.m3u8
西藏卫视,http://106.115.26.172:9999/tsfile/live/0111_1.m3u8
